Store,Category,Product,Product_URL,Source,Unit,India,US,Inseam,EU,Waist,Shoulder,UK,Hip,Chest
Westside,,Nuon Black Slim-Fit Mid-Rise Jeans,https://www.westside.com/products/nuon-black-slim-fit-mid-rise-jeans-300796748,image_ocr,cm,28,28,21,,,,,,
Westside,,Nuon Black Slim-Fit Mid-Rise Jeans,https://www.westside.com/products/nuon-black-slim-fit-mid-rise-jeans-300796748,image_ocr,cm,30,30,81,,,,,,
Westside,,Nuon Black Slim-Fit Mid-Rise Jeans,https://www.westside.com/products/nuon-black-slim-fit-mid-rise-jeans-300796748,image_ocr,cm,32,32,81,,,,,,
Westside,,Nuon Black Slim-Fit Mid-Rise Jeans,https://www.westside.com/products/nuon-black-slim-fit-mid-rise-jeans-300796748,image_ocr,cm,34,34,81,,,,,,
Westside,,Nuon Black Slim-Fit Mid-Rise Jeans,https://www.westside.com/products/nuon-black-slim-fit-mid-rise-jeans-300796748,image_ocr,cm,36,36,81,,,,,,
Westside,,Nuon Black Slim-Fit Mid-Rise Jeans,https://www.westside.com/products/nuon-black-slim-fit-mid-rise-jeans-300796748,image_ocr,cm,38,38,81,,,,,,
Westside,,Nuon Black Slim-Fit Mid-Rise Jeans,https://www.westside.com/products/nuon-black-slim-fit-mid-rise-jeans-300796748,image_ocr,cm,40,40,81,,,,,,
Westside,,ETA Olive Striped Slim Fit T-Shirt,https://www.westside.com/products/eta-olive-striped-slim-fit-t-shirt-300795960,image_ocr,cm,XS,35-37,,40,71,43,35-37,86,91
Westside,,ETA Olive Striped Slim Fit T-Shirt,https://www.westside.com/products/eta-olive-striped-slim-fit-t-shirt-300795960,image_ocr,cm,S,37-40,,42,76,45,37-40,91,96
Westside,,ETA Olive Striped Slim Fit T-Shirt,https://www.westside.com/products/eta-olive-striped-slim-fit-t-shirt-300795960,image_ocr,cm,M,40-42,,44,81,46,40-42,96,101
Westside,,ETA Olive Striped Slim Fit T-Shirt,https://www.westside.com/products/eta-olive-striped-slim-fit-t-shirt-300795960,image_ocr,cm,L,42-44,,46,86,48,42-44,101,106
Westside,,ETA Olive Striped Slim Fit T-Shirt,https://www.westside.com/products/eta-olive-striped-slim-fit-t-shirt-300795960,image_ocr,cm,XL,44-46,,,,,44-46,,
Westside,,ETA Olive Striped Slim Fit T-Shirt,https://www.westside.com/products/eta-olive-striped-slim-fit-t-shirt-300795960,image_ocr,cm,XXL,46-48,,,,,46-48,,
Westside,,ETA Olive Striped Slim Fit T-Shirt,https://www.westside.com/products/eta-olive-striped-slim-fit-t-shirt-300795960,image_ocr,cm,XXXL,50-52,,,,,50-52,,
Westside,,Studiofit Black Slim Fit Jacket,https://www.westside.com/products/studiofit-black-slim-fit-jacket-300793387,image_ocr,cm,XS,35-37,,40,,,35-37,86,
Westside,,Studiofit Black Slim Fit Jacket,https://www.westside.com/products/studiofit-black-slim-fit-jacket-300793387,image_ocr,cm,S,37-40,,46,,,37-40,91,
Westside,,Studiofit Black Slim Fit Jacket,https://www.westside.com/products/studiofit-black-slim-fit-jacket-300793387,image_ocr,cm,M,40-42,,50,,,40-42,96,
Westside,,Studiofit Black Slim Fit Jacket,https://www.westside.com/products/studiofit-black-slim-fit-jacket-300793387,image_ocr,cm,L,42-44,,,,,42-44,101,
Westside,,Studiofit Black Slim Fit Jacket,https://www.westside.com/products/studiofit-black-slim-fit-jacket-300793387,image_ocr,cm,XL,44-46,,,,,44-46,106,
Westside,,Studiofit Black Slim Fit Jacket,https://www.westside.com/products/studiofit-black-slim-fit-jacket-300793387,image_ocr,cm,XXL,46-48,,,,,46-48,111,
Westside,,Studiofit Black Slim Fit Jacket,https://www.westside.com/products/studiofit-black-slim-fit-jacket-300793387,image_ocr,cm,XXXL,50-52,,,,,50-52,116,
Westside,,ETA Grey Self-Patterned Slim Fit T-Shirt,https://www.westside.com/products/eta-grey-self-patterned-slim-fit-t-shirt-300796434,image_ocr,cm,XS,35-37,,40,71,43,35-37,86,91
Westside,,ETA Grey Self-Patterned Slim Fit T-Shirt,https://www.westside.com/products/eta-grey-self-patterned-slim-fit-t-shirt-300796434,image_ocr,cm,S,37-40,,42,76,45,37-40,91,96
Westside,,ETA Grey Self-Patterned Slim Fit T-Shirt,https://www.westside.com/products/eta-grey-self-patterned-slim-fit-t-shirt-300796434,image_ocr,cm,M,40-42,,44,81,46,40-42,96,101
Westside,,ETA Grey Self-Patterned Slim Fit T-Shirt,https://www.westside.com/products/eta-grey-self-patterned-slim-fit-t-shirt-300796434,image_ocr,cm,L,42-44,,46,86,48,42-44,101,106
Westside,,ETA Grey Self-Patterned Slim Fit T-Shirt,https://www.westside.com/products/eta-grey-self-patterned-slim-fit-t-shirt-300796434,image_ocr,cm,XL,44-46,,,,,44-46,,
Westside,,ETA Grey Self-Patterned Slim Fit T-Shirt,https://www.westside.com/products/eta-grey-self-patterned-slim-fit-t-shirt-300796434,image_ocr,cm,XXL,46-48,,,,,46-48,,
Westside,,ETA Grey Self-Patterned Slim Fit T-Shirt,https://www.westside.com/products/eta-grey-self-patterned-slim-fit-t-shirt-300796434,image_ocr,cm,XXXL,50-52,,,,,50-52,,
Westside,,WES Casuals Black Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-slim-fit-polo-t-shirt-300794940,image_ocr,cm,XS,,,,71,,,86,91
Westside,,WES Casuals Black Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-slim-fit-polo-t-shirt-300794940,image_ocr,cm,S,,,,76,,,91,96
Westside,,WES Casuals Black Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-slim-fit-polo-t-shirt-300794940,image_ocr,cm,M,,,,81,,,96,101
Westside,,WES Casuals Black Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-slim-fit-polo-t-shirt-300794940,image_ocr,cm,L,,,,86,,,101,106
Westside,,WES Casuals Black Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-slim-fit-polo-t-shirt-300794940,image_ocr,cm,XL,,,,91,,,106,111
Westside,,WES Casuals Black Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-slim-fit-polo-t-shirt-300794940,image_ocr,cm,XXL,,,,96,,,111,116
Westside,,WES Casuals Black Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-slim-fit-polo-t-shirt-300794940,image_ocr,cm,XXXL,,,,101,,,116,121
Westside,,WES Casuals White Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-slim-fit-polo-t-shirt-300794940,image_ocr,cm,XS,,,,71,,,86,91
Westside,,WES Casuals White Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-slim-fit-polo-t-shirt-300794940,image_ocr,cm,S,,,,76,,,91,96
Westside,,WES Casuals White Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-slim-fit-polo-t-shirt-300794940,image_ocr,cm,M,,,,81,,,96,101
Westside,,WES Casuals White Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-slim-fit-polo-t-shirt-300794940,image_ocr,cm,L,,,,86,,,101,106
Westside,,WES Casuals White Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-slim-fit-polo-t-shirt-300794940,image_ocr,cm,XL,,,,91,,,106,111
Westside,,WES Casuals White Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-slim-fit-polo-t-shirt-300794940,image_ocr,cm,XXL,,,,96,,,111,116
Westside,,WES Casuals White Slim Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-slim-fit-polo-t-shirt-300794940,image_ocr,cm,XXXL,,,,101,,,116,121
Westside,,WES Casuals Mustard Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-mustard-relaxed-fit-polo-t-shirt-300794172,image_ocr,cm,XS,,,,71,,,86,91
Westside,,WES Casuals Mustard Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-mustard-relaxed-fit-polo-t-shirt-300794172,image_ocr,cm,S,,,,76,,,91,96
Westside,,WES Casuals Mustard Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-mustard-relaxed-fit-polo-t-shirt-300794172,image_ocr,cm,M,,,,81,,,96,101
Westside,,WES Casuals Mustard Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-mustard-relaxed-fit-polo-t-shirt-300794172,image_ocr,cm,L,,,,86,,,101,106
Westside,,WES Casuals Mustard Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-mustard-relaxed-fit-polo-t-shirt-300794172,image_ocr,cm,XL,,,,91,,,106,111
Westside,,WES Casuals Mustard Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-mustard-relaxed-fit-polo-t-shirt-300794172,image_ocr,cm,XXL,,,,96,,,111,116
Westside,,WES Casuals Mustard Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-mustard-relaxed-fit-polo-t-shirt-300794172,image_ocr,cm,XXXL,,,,101,,,116,121
Westside,,WES Casuals Black Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,XS,,,,71,,,86,91
Westside,,WES Casuals Black Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,S,,,,76,,,91,96
Westside,,WES Casuals Black Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,M,,,,81,,,96,101
Westside,,WES Casuals Black Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,L,,,,86,,,101,106
Westside,,WES Casuals Black Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,XL,,,,91,,,106,111
Westside,,WES Casuals Black Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,XXL,,,,96,,,111,116
Westside,,WES Casuals Black Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-black-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,XXXL,,,,101,,,116,121
Westside,,WES Casuals White Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,XS,,,,71,,,86,91
Westside,,WES Casuals White Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,S,,,,76,,,91,96
Westside,,WES Casuals White Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,M,,,,81,,,96,101
Westside,,WES Casuals White Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,L,,,,86,,,101,106
Westside,,WES Casuals White Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,XL,,,,91,,,106,111
Westside,,WES Casuals White Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,XXL,,,,96,,,111,116
Westside,,WES Casuals White Relaxed Fit Polo T-Shirt,https://www.westside.com/products/wes-casuals-white-relaxed-fit-polo-t-shirt-300794472,image_ocr,cm,XXXL,,,,101,,,116,121
Westside,,Diza Curve White Solid Cotton Ethnic Pants,https://www.westside.com/products/diza-curve-white-solid-cotton-ethnic-pants-300818164,image_ocr,cm,XS,12-14],74,44-46,88,,16-18],112,
Westside,,Diza Curve White Solid Cotton Ethnic Pants,https://www.westside.com/products/diza-curve-white-solid-cotton-ethnic-pants-300818164,image_ocr,cm,S,14-16,74,48-50,93,,18-20,117,
Westside,,Diza Curve White Solid Cotton Ethnic Pants,https://www.westside.com/products/diza-curve-white-solid-cotton-ethnic-pants-300818164,image_ocr,cm,M,16-18,74,52-54,98,,22-24,122,
Westside,,Diza Curve White Solid Cotton Ethnic Pants,https://www.westside.com/products/diza-curve-white-solid-cotton-ethnic-pants-300818164,image_ocr,cm,L,18-20,74,56-58,103,,26-28,127,
Westside,,Diza Curve White Solid Cotton Ethnic Pants,https://www.westside.com/products/diza-curve-white-solid-cotton-ethnic-pants-300818164,image_ocr,cm,XL,20-22,74,60-62,110,,30-32,134,
Westside,,Diza Curve White Solid Cotton Ethnic Pants,https://www.westside.com/products/diza-curve-white-solid-cotton-ethnic-pants-300818164,image_ocr,cm,XXL,22-24,74,64-66,117,,34-36,141,
Westside,,WES Casuals Light Blue Slim Fit Cotton Shirt,https://www.westside.com/products/wes-casuals-light-blue-slim-fit-cotton-shirt-300816358,image_ocr,cm,XS,,,,71,,,86,91
Westside,,WES Casuals Light Blue Slim Fit Cotton Shirt,https://www.westside.com/products/wes-casuals-light-blue-slim-fit-cotton-shirt-300816358,image_ocr,cm,S,,,,76,,,91,96
Westside,,WES Casuals Light Blue Slim Fit Cotton Shirt,https://www.westside.com/products/wes-casuals-light-blue-slim-fit-cotton-shirt-300816358,image_ocr,cm,M,,,,81,,,96,101
Westside,,WES Casuals Light Blue Slim Fit Cotton Shirt,https://www.westside.com/products/wes-casuals-light-blue-slim-fit-cotton-shirt-300816358,image_ocr,cm,L,,,,86,,,101,106
Westside,,WES Casuals Light Blue Slim Fit Cotton Shirt,https://www.westside.com/products/wes-casuals-light-blue-slim-fit-cotton-shirt-300816358,image_ocr,cm,XL,,,,91,,,106,111
Westside,,WES Casuals Light Blue Slim Fit Cotton Shirt,https://www.westside.com/products/wes-casuals-light-blue-slim-fit-cotton-shirt-300816358,image_ocr,cm,XXL,,,,96,,,111,116
Westside,,WES Casuals Light Blue Slim Fit Cotton Shirt,https://www.westside.com/products/wes-casuals-light-blue-slim-fit-cotton-shirt-300816358,image_ocr,cm,XXXL,,,,101,,,116,121
Westside,,Nuon Charcoal Slim - Fit Mid - Rise Jeans,https://www.westside.com/products/nuon-charcoal-slim-fit-mid-rise-jeans-300817127,image_ocr,cm,28,28,21,,,,,,
Westside,,Nuon Charcoal Slim - Fit Mid - Rise Jeans,https://www.westside.com/products/nuon-charcoal-slim-fit-mid-rise-jeans-300817127,image_ocr,cm,30,30,81,,,,,,
Westside,,Nuon Charcoal Slim - Fit Mid - Rise Jeans,https://www.westside.com/products/nuon-charcoal-slim-fit-mid-rise-jeans-300817127,image_ocr,cm,32,32,81,,,,,,
Westside,,Nuon Charcoal Slim - Fit Mid - Rise Jeans,https://www.westside.com/products/nuon-charcoal-slim-fit-mid-rise-jeans-300817127,image_ocr,cm,34,34,81,,,,,,
Westside,,Nuon Charcoal Slim - Fit Mid - Rise Jeans,https://www.westside.com/products/nuon-charcoal-slim-fit-mid-rise-jeans-300817127,image_ocr,cm,36,36,81,,,,,,
Westside,,Nuon Charcoal Slim - Fit Mid - Rise Jeans,https://www.westside.com/products/nuon-charcoal-slim-fit-mid-rise-jeans-300817127,image_ocr,cm,38,38,81,,,,,,
Westside,,Nuon Charcoal Slim - Fit Mid - Rise Jeans,https://www.westside.com/products/nuon-charcoal-slim-fit-mid-rise-jeans-300817127,image_ocr,cm,40,40,81,,,,,,
Westside,,WES Casuals Navy Relaxed Fit Shirt,https://www.westside.com/products/wes-casuals-navy-relaxed-fit-shirt-300816357,image_ocr,cm,XS,,,,71,,,86,91
Westside,,WES Casuals Navy Relaxed Fit Shirt,https://www.westside.com/products/wes-casuals-navy-relaxed-fit-shirt-300816357,image_ocr,cm,S,,,,76,,,91,96
Westside,,WES Casuals Navy Relaxed Fit Shirt,https://www.westside.com/products/wes-casuals-navy-relaxed-fit-shirt-300816357,image_ocr,cm,M,,,,81,,,96,101
Westside,,WES Casuals Navy Relaxed Fit Shirt,https://www.westside.com/products/wes-casuals-navy-relaxed-fit-shirt-300816357,image_ocr,cm,L,,,,86,,,101,106
Westside,,WES Casuals Navy Relaxed Fit Shirt,https://www.westside.com/products/wes-casuals-navy-relaxed-fit-shirt-300816357,image_ocr,cm,XL,,,,91,,,106,111
Westside,,WES Casuals Navy Relaxed Fit Shirt,https://www.westside.com/products/wes-casuals-navy-relaxed-fit-shirt-300816357,image_ocr,cm,XXL,,,,96,,,111,116
Westside,,WES Casuals Navy Relaxed Fit Shirt,https://www.westside.com/products/wes-casuals-navy-relaxed-fit-shirt-300816357,image_ocr,cm,XXXL,,,,101,,,116,121
